Brand,Model,Year,Mileage,Fuel_Type,Transmission,Price
Hyundai,Elantra,2023,15.7,Petrol,Manual,2031807.2
Hyundai,Elantra,2021,18.5,Diesel,Manual,4501508.4
BMW,3 Series,2024,19.0,Petrol,Automatic,4827002.7
Toyota,Corolla,2022,18.8,Petrol,Manual,4894701.1
Nissan,Altima,2023,7.2,Petrol,Automatic,3198900.9
Mercedes,Benz C-Class,2020,5.6,Diesel,Manual,493342.4
Mercedes,Benz C-Class,2023,8.8,Diesel,Automatic,392280.1
Honda,Civic,2020,10.9,Petrol,Manual,266780.3
Ford,Focus,2021,12.5,Petrol,Manual,486026.3
Hyundai,Elantra,2021,8.8,Diesel,Manual,354298.9
Volkswagen,Golf,2024,6.7,Diesel,Automatic,289785.0
Honda,Civic,2024,13.1,Petrol,Automatic,244584.7
Mercedes,Benz C-Class,2025,12.2,Petrol,Automatic,346079.3
Nissan,Altima,2024,11.3,Petrol,Automatic,448695.6
BMW,3 Series,2022,5.3,Diesel,Manual,315666.5
BMW,3 Series,2020,7.1,Diesel,Automatic,266514.0
BMW,3 Series,2020,19.1,Petrol,Manual,427948.3
Hyundai,Elantra,2023,17.2,Diesel,Manual,473876.8
Toyota,Corolla,2025,8.7,Petrol,Manual,488987.1
Toyota,Corolla,2021,8.3,Petrol,Automatic,399726.6
Kia,Seltos,2023,7.6,Petrol,Manual,255241.0
Audi,A4,2021,7.6,Petrol,Manual,493481.7
BMW,3 Series,2022,12.2,Diesel,Automatic,478214.7
Kia,Seltos,2025,18.7,Petrol,Manual,254651.3
Honda,Civic,2022,13.9,Petrol,Manual,277167.1
Ford,Focus,2024,19.8,Diesel,Manual,303302.1
Hyundai,Elantra,2024,6.0,Diesel,Manual,232655.3
BMW,3 Series,2021,13.8,Petrol,Manual,478950.3
Audi,A4,2022,6.3,Petrol,Manual,371872.3
Nissan,Altima,2025,9.8,Diesel,Manual,460353.6
BMW,3 Series,2020,16.2,Petrol,Automatic,377522.7
Kia,Seltos,2025,9.0,Diesel,Manual,211421.1
BMW,3 Series,2024,18.8,Petrol,Manual,225256.5
Volkswagen,Golf,2025,18.2,Diesel,Automatic,481123.2
Ford,Focus,2022,19.6,Petrol,Automatic,277304.6
Kia,Seltos,2024,11.4,Diesel,Automatic,213798.5
Kia,Seltos,2020,13.5,Petrol,Manual,444316.3
Toyota,Corolla,2021,12.1,Diesel,Automatic,217507.4
